央视,#genre#
江门综合,http://113.65.177.161:10000/rtp/239.10.0.219:1025 
珠海-1,http://113.65.177.161:10000/rtp/239.10.0.242:1025 
中山综合,http://113.65.177.161:10000/rtp/239.11.0.122:1025 
中山香山文化,http://113.65.177.161:10000/rtp/239.11.0.123:1025 
云浮综合,http://113.65.177.161:10000/rtp/239.11.0.96:1025 
云浮文旅,http://113.65.177.161:10000/rtp/239.11.0.97:1025 
茂名文化生活,http://113.65.177.161:10000/rtp/239.11.0.99:1025 
茂名综合,http://113.65.177.161:10000/rtp/239.10.0.238:1025 
湛江新闻综合,http://113.65.177.161:10000/rtp/239.10.0.253:1025 
湛江公共,http://113.65.177.161:10000/rtp/239.10.0.254:1025 
其他,#genre# 
精彩竞技,http://113.65.177.161:10000/rtp/239.11.0.183:1025 
精彩广场舞,http://113.65.177.161:10000/rtp/239.11.0.184:1025 
金鹰纪实,http://113.65.177.161:10000/rtp/239.10.0.206:1025 
金鹰卡通,http://113.65.177.161:10000/rtp/239.11.0.125:1025 
中国交通,http://113.65.177.161:10000/rtp/239.10.0.72:1025 
环球奇观,http://113.65.177.161:10000/rtp/239.10.0.36:1025 
国学频道,http://113.65.177.161:10000/rtp/239.10.0.38:1025 
卡酷动画,http://113.65.177.161:10000/rtp/239.10.0.172:1025 
炫动卡通,http://113.65.177.161:10000/rtp/239.10.0.174:1025 
财富天下,http://113.65.177.161:10000/rtp/239.10.0.177:1025 
汽摩,http://113.65.177.161:10000/rtp/239.10.0.232:1025 
书画,http://113.65.177.161:10000/rtp/239.11.0.174:1025 
IPTV相声小品,http://113.65.177.161:10000/rtp/239.10.0.9:1025 
IPTV野外,http://113.65.177.161:10000/rtp/239.10.0.10:1025 
IPTV法治,http://113.65.177.161:10000/rtp/239.10.0.11:1025 
IPTV3+,http://113.65.177.161:10000/rtp/239.10.0.16:1025 
IPTV收视指南,http://113.65.177.161:10000/rtp/239.10.0.20:1025
IPTV5+高清,http://113.65.177.161:10000/rtp/239.10.0.218:1025 
IPTV谍战剧场,http://113.65.177.161:10000/rtp/239.10.0.8:1025 
IPTV6+,http://113.65.177.161:10000/rtp/239.10.0.12:1025 
IPTV经典电影,http://113.65.177.161:10000/rtp/239.10.0.13:1025 
IPTV8+,http://113.65.177.161:10000/rtp/239.10.0.14:1025 
IPTV热播剧场,http://113.65.177.161:10000/rtp/239.10.0.15:1025 
IPTV少儿动画,http://113.65.177.161:10000/rtp/239.10.0.18:1025 
IPTV魅力时尚,http://113.65.177.161:10000/rtp/239.10.0.19:1025
