📡  电信广电,#genre#
山东卫视,http:///rtp/239.10.0.182:1025 
辽宁卫视,http:///rtp/239.10.0.185:1025 
安徽卫视,http:///rtp/239.10.0.203:1025 
贵州卫视,http:///rtp/239.10.0.222:1025 
广西卫视,http:///rtp/239.10.0.246:1025 
湖北卫视,http:///rtp/239.10.0.134:1025 
河南卫视,http:///rtp/239.11.0.94:1025 
云南卫视,http:///rtp/239.11.0.171:1025 
海南卫视,http:///rtp/239.11.0.172:1025 
甘肃卫视,http:///rtp/239.11.0.175:1025 
青海卫视,http:///rtp/239.11.0.179:1025 
三沙卫视,http:///rtp/239.11.0.177:1025 
黑龙江卫视,http:///rtp/239.10.0.133:1025 
陕西卫视,http:///rtp/239.10.0.161:1025 
山西卫视,http:///rtp/239.10.0.162:1025 
宁夏卫视,http:///rtp/239.10.0.166:1025 
西藏卫视,http:///rtp/239.10.0.167:1025 
新疆卫视,http:///rtp/239.10.0.168:1025 
兵团卫视,http:///rtp/239.10.0.170:1025 
厦门卫视,http:///rtp/239.10.0.178:1025 
内蒙古卫视,http:///rtp/239.10.0.163:1025 
延边卫视,http:///rtp/239.10.0.140:1025 
教育卫视,http:///rtp/239.10.0.176:1025 
广东,#genre# 
广东4K,http:///rtp/239.10.0.75:1025 
广东卫视4K,http:///udp/239.11.0.193:1025 
广东卫视4K,http:///rtp/239.11.0.194:1025 
深圳卫视4K,http:///rtp/239.11.0.195:1025 
经济科教高清,http:///rtp/239.10.0.46:1025 
广东体育高清,http:///rtp/239.10.0.47:1025 
广东珠江高清,http:///rtp/239.10.0.63:1025 
广东珠江高清,http:///rtp/239.10.0.62:1025 
广东珠江高清,http:///rtp/239.11.0.16:1025 
广东体育高清,http:///rtp/239.10.0.113:1025 
广东影视高清,http:///rtp/239.11.0.79:1025 
广东民生高清,http:///rtp/239.11.0.80:1025 
广东新闻高清,http:///rtp/239.10.0.199:1025 
经济科教高清,http:///rtp/239.10.0.112:1025 
岭南戏曲高清,http:///rtp/239.11.0.180:1025 
现代教育高清,http:///rtp/239.11.0.181:1025 
