1220k  113.133.233.163:8020
1147k  36.46.99.75:8021
1128k  113.133.233.163:8021
1101k  36.46.99.75:8020
1063k  36.46.99.75:8008
1050k  113.138.137.0:8001
1049k  113.133.233.163:8008
1044k  117.32.85.85:8021
1035k  222.90.3.250:8888
1035k  117.32.84.16:8008
1030k  117.32.85.85:8008
1026k  117.32.85.85:8020
1023k  117.32.84.16:8021
1017k  117.32.84.16:8020
934k  summer-xa.icopylock.com:8888
918k  113.138.134.194:8001
