1338k  115.205.69.119:8888
1175k  115.207.210.81:8888
1159k  115.210.75.231:58888
1157k  125.113.162.31:8888
1134k  115.207.212.98:8889
1114k  115.207.210.81:8889
1095k  60.179.237.124:8888
1084k  60.184.42.80:8889
1079k  115.207.212.98:8888
1071k  60.184.42.80:8888
1057k  36.20.28.106:8888
1011k  183.146.187.130:8888
271k  60.184.42.82:8889
265k  60.184.42.82:8888
