1081k  114.107.2.100:2000
1072k  60.168.229.59:2000
1070k  61.190.129.195:8686
1066k  117.67.9.201:4000
1057k  60.168.230.254:2000
1047k  114.98.191.146:2000
1038k  114.98.190.39:2000
1037k  124.113.241.247:4022
1031k  114.98.190.54:2000
1026k  114.98.189.63:2000
1025k  223.215.11.187:2000
993k  117.67.8.222:4000
